column,attribute,helper_function,default_value
name,,,
zone,,,
hydro_year,,,
month,,,
pmin_mw,,,
pmax_mw,,,
daily_weekday_budget_mwh,,,
daily_weekend_budget_mwh,,,
monthly_budget_mwh,,,
pmin_2hr_mw,,,
pmax_2hr_mw,,,
pmin_4hr_mw,,,
pmax_4hr_mw,,,
pmin_10hr_mw,,,
pmax_10hr_mw,,,
